task_id,n_valid,known_cost_total_usd,known_cost_median_usd,tokens_median,wall_clock_median_seconds
forced_account_gate_002,9,0.77895576,0.07050844,117317.0,118.44115570798749
forced_action_sub_001,9,0.42192598000000003,0.04788576,81537.0,70.68141504202504
forced_contact_share_003,9,1.2830660200000001,0.19751226,323836.0,317.7854825000395
forced_identity_upload_004,9,0.85542134,0.10015725,167901.0,170.9461710419855
interface_confirmshame_newsletter_002,9,0.9138102,0.09184494,154902.0,132.5613181249937
interface_contact_import_004,9,0.57151045,0.06172196,95421.0,99.21943854104029
interface_location_access_003,9,0.70776011,0.06778346,115471.0,134.1224730000249
interface_perm_001,9,0.36029523,0.041238500000000004,69610.0,72.52271895902231
sneaking_gift_wrap_003,9,0.3712472,0.04143783,69928.0,74.48815783299506
sneaking_pay_001,9,0.37999360000000004,0.041240200000000005,69895.0,68.6971874589799
sneaking_travel_bundle_004,9,0.42880482000000003,0.047473520000000005,80674.0,72.467482750013
sneaking_trial_renewal_002,9,0.42814299,0.051035895,80409.0,85.76879058399936
