omitted_task,contrast,metric,estimate
forced_account_gate_002,system_warning_minus_no_warning,TC,0.09090909090909091
forced_account_gate_002,system_warning_minus_no_warning,S,0.15151515151515155
forced_account_gate_002,system_warning_minus_no_warning,C,-0.09090909090909094
forced_account_gate_002,ui_warning_minus_no_warning,TC,0.09090909090909091
forced_account_gate_002,ui_warning_minus_no_warning,S,0.15151515151515155
forced_account_gate_002,ui_warning_minus_no_warning,C,-0.1515151515151516
forced_action_sub_001,system_warning_minus_no_warning,TC,0.09090909090909091
forced_action_sub_001,system_warning_minus_no_warning,S,0.18181818181818182
forced_action_sub_001,system_warning_minus_no_warning,C,-0.12121212121212122
forced_action_sub_001,ui_warning_minus_no_warning,TC,0.06060606060606058
forced_action_sub_001,ui_warning_minus_no_warning,S,0.12121212121212122
forced_action_sub_001,ui_warning_minus_no_warning,C,-0.12121212121212122
forced_contact_share_003,system_warning_minus_no_warning,TC,0.09090909090909091
forced_contact_share_003,system_warning_minus_no_warning,S,0.18181818181818182
forced_contact_share_003,system_warning_minus_no_warning,C,-0.12121212121212122
forced_contact_share_003,ui_warning_minus_no_warning,TC,0.09090909090909091
forced_contact_share_003,ui_warning_minus_no_warning,S,0.1515151515151515
forced_contact_share_003,ui_warning_minus_no_warning,C,-0.1515151515151515
forced_identity_upload_004,system_warning_minus_no_warning,TC,0.06060606060606061
forced_identity_upload_004,system_warning_minus_no_warning,S,0.12121212121212122
forced_identity_upload_004,system_warning_minus_no_warning,C,-0.09090909090909094
forced_identity_upload_004,ui_warning_minus_no_warning,TC,0.12121212121212122
forced_identity_upload_004,ui_warning_minus_no_warning,S,0.2121212121212121
forced_identity_upload_004,ui_warning_minus_no_warning,C,-0.18181818181818188
interface_confirmshame_newsletter_002,system_warning_minus_no_warning,TC,0.09090909090909091
interface_confirmshame_newsletter_002,system_warning_minus_no_warning,S,0.18181818181818182
interface_confirmshame_newsletter_002,system_warning_minus_no_warning,C,-0.12121212121212122
interface_confirmshame_newsletter_002,ui_warning_minus_no_warning,TC,0.12121212121212122
interface_confirmshame_newsletter_002,ui_warning_minus_no_warning,S,0.18181818181818182
interface_confirmshame_newsletter_002,ui_warning_minus_no_warning,C,-0.1515151515151516
interface_contact_import_004,system_warning_minus_no_warning,TC,0.09090909090909091
interface_contact_import_004,system_warning_minus_no_warning,S,0.18181818181818182
interface_contact_import_004,system_warning_minus_no_warning,C,-0.12121212121212122
interface_contact_import_004,ui_warning_minus_no_warning,TC,0.09090909090909091
interface_contact_import_004,ui_warning_minus_no_warning,S,0.18181818181818182
interface_contact_import_004,ui_warning_minus_no_warning,C,-0.18181818181818188
interface_location_access_003,system_warning_minus_no_warning,TC,0.06060606060606058
interface_location_access_003,system_warning_minus_no_warning,S,0.12121212121212122
interface_location_access_003,system_warning_minus_no_warning,C,-0.09090909090909094
interface_location_access_003,ui_warning_minus_no_warning,TC,0.0
interface_location_access_003,ui_warning_minus_no_warning,S,0.09090909090909094
interface_location_access_003,ui_warning_minus_no_warning,C,-0.18181818181818188
interface_perm_001,system_warning_minus_no_warning,TC,0.09090909090909091
interface_perm_001,system_warning_minus_no_warning,S,0.18181818181818182
interface_perm_001,system_warning_minus_no_warning,C,-0.09090909090909094
interface_perm_001,ui_warning_minus_no_warning,TC,0.09090909090909091
interface_perm_001,ui_warning_minus_no_warning,S,0.18181818181818182
interface_perm_001,ui_warning_minus_no_warning,C,-0.18181818181818188
sneaking_gift_wrap_003,system_warning_minus_no_warning,TC,0.09090909090909091
sneaking_gift_wrap_003,system_warning_minus_no_warning,S,0.18181818181818182
sneaking_gift_wrap_003,system_warning_minus_no_warning,C,-0.12121212121212122
sneaking_gift_wrap_003,ui_warning_minus_no_warning,TC,0.09090909090909091
sneaking_gift_wrap_003,ui_warning_minus_no_warning,S,0.18181818181818182
sneaking_gift_wrap_003,ui_warning_minus_no_warning,C,-0.18181818181818188
sneaking_pay_001,system_warning_minus_no_warning,TC,0.09090909090909091
sneaking_pay_001,system_warning_minus_no_warning,S,0.15151515151515155
sneaking_pay_001,system_warning_minus_no_warning,C,-0.09090909090909094
sneaking_pay_001,ui_warning_minus_no_warning,TC,0.09090909090909091
sneaking_pay_001,ui_warning_minus_no_warning,S,0.18181818181818182
sneaking_pay_001,ui_warning_minus_no_warning,C,-0.1515151515151516
sneaking_travel_bundle_004,system_warning_minus_no_warning,TC,0.09090909090909091
sneaking_travel_bundle_004,system_warning_minus_no_warning,S,0.18181818181818182
sneaking_travel_bundle_004,system_warning_minus_no_warning,C,-0.12121212121212122
sneaking_travel_bundle_004,ui_warning_minus_no_warning,TC,0.09090909090909091
sneaking_travel_bundle_004,ui_warning_minus_no_warning,S,0.18181818181818182
sneaking_travel_bundle_004,ui_warning_minus_no_warning,C,-0.18181818181818188
sneaking_trial_renewal_002,system_warning_minus_no_warning,TC,0.06060606060606058
sneaking_trial_renewal_002,system_warning_minus_no_warning,S,0.18181818181818182
sneaking_trial_renewal_002,system_warning_minus_no_warning,C,-0.1515151515151515
sneaking_trial_renewal_002,ui_warning_minus_no_warning,TC,0.06060606060606058
sneaking_trial_renewal_002,ui_warning_minus_no_warning,S,0.18181818181818182
sneaking_trial_renewal_002,ui_warning_minus_no_warning,C,-0.18181818181818188
